Language,Family Name,Notes,Blazon
English,ABANK,ABANK.,"Argent, a China cokar-tree vert"
English,ABBENDON,"S.Edmund de ABBENDON, Abp. of Cant. 1233-40.","Gules, a cross patonce or, between four sea-pyes proper[i.e. sable winged argent]"
English,ABBERBURY ADDERBURY,"ABBERBURY, Oxon, and ADDERBURY, Sussex.","Or, a fesse embattled[on the upper side only] sable"
English,ABBERBURY,"M. Richard ABBERBURY, [Roll, A.D. 1392-97].","Or, a fesse double embattled at the top sable; a label of three points gules"
English,ABBOT,"ABBOT, co. Salop.","Argent, three shredding-knives sable"
English,ABBOT,"George ABBOT, Bp. of Lichfield, 1609; Bp. of London, 1610; Abp. of Cant., 1611-33.","Gules, a chevron between three pears stalked or"
English,ABBOTSBURY,"ABBOTSBURY Abbey, Dorset.","Azure, three pairs of keys, two in chief and one in base or; each pair addorsed and conjoined in the rings, the wards in chief"
English,ABELADAME,ABELADAME.,"Vert, a deer-goat's head argent"
English,ABERBROTHOCK,"Burgh of ABERBROTHOCK, Scotland.","Argent, a portcullis gules, chains azure"
English,ABERDEEN,Burgh of ABERDEEN.,"Gules, three castles triple-towered within the royal tressure argent"
English,ABERDEEN,See of ABERDEEN.,"Azure, a bishop[some say S.Michael] mitred and vested standing in the porch of a church, the dexter hand elevated praying over a cauldron on a fire, and containing three children all proper; in his sinister hand a crozier or"
English,ABERNETHY,"ABERNETHY of that Ilk, co. Fife.","Or, a lion rampant gules surmounted by a ribbon[or bendlet] sable"
English,ABIBSON,ABIBSON.,"Argent, a fesse botonny gules"
English,ABINGDON,"Town of ABINGDON, Berks, granted 1623.","Vert, a cross patonce or between four crosses pattee argent"
English,ABNOTT,ABNOTT.,"Azure, a smew or white nun proper"
English,ABRENCIS AVERING,"ABRENCIS or AVERING, Kent.","Gules, three arches azure"
English,ACHENEY,ACHENEY.,"Argent, five lozenges in saltire, between four others gules"
English,ACTON,ACTON.,"Gyronny of eight, argent and gules"
English,ACTONLEY,ACTONLEY.,"Per pale barry of six, ermine and gules dexter, and azure sinister; a chief engrailed of the third; a point indented argent"
English,ADAMS,"ADAMS, co. Pembroke.","Sable, a martlet argent"
English,ADAMS,ADAMS.,"Quarterly ermine and azure, in the second and third quarters an eagle rising[otherwise volant] or"
English,ADDA MOEL,Madoc ap ADDA MOEL.,"Argent, a lion passant sable, the fore-feet fettered or"
English,ADDERTON,"ADDERTON, co. York.","Sable, three sword chapes or"
English,ADDICE,ADDICE.,"Argent, three addices azure, handles or"
English,ADNEY,ADNEY.,"Azure, a fesse dancetty between three cherub's heads argent"
English,ADOLPHUS,ADOLPHUS.,"Azure, a knight's helmet with snake entwined round it between three lion's heads erased or"
English,ADY,"ADY, Kent.","Azure, a fesse dancetty between three cherubim's heads or, faces argent"
English,ADYER,"ADYER, Kent.","Argent, a chevron dancetty, between three cherubs gules"
English,AERBOROUGH,AERBOROUGH.,"Or, an eagle's head with hound's ears azure"
English,AFRICAN,"Royal AFRICAN Company, [Inc. 1662].","Or, an elephant azure, on his back a quadrangular castle argent, masoned proper; on the sinister tower a flag-staff and banner gules, on the dexter corner of the banner a canton argent charged with a cross gules; on the dexter corner of the escutcheon a canton quarterly of France and England"
English,AGALL,AGALL.,"Gules, a fesse cotised or, over all two sabres addorsed saltireways azure hilt and pomel of the second"
English,AGINAL,"AGINAL, Cresseley.","Argent, a lion rampant reguardant gules"
English,AHLEN,AHLEN.,"Per fesse, argent and azure, a stock[or trunk] of a tree couped and eradicated in bend or"
English,AHRENDS,AHRENDS.,"Argent, five stalks or rye growing out of the ground in base vert"
English,AIKENHEAD TATTON,AIKENHEAD and TATTON.,"Argent, three acorns slipped vert"
English,AIKMAN,"AIKMAN, Carnie.","Argent, a sinister hand in base issuing out of a cloud fessways, holding an oaken baton paleways proper, with a branch sprouting out at the top thereof surmounted of a bend engrailed gules"
English,AIRE,AIRE.,"Azure, three water-bubbles proper"
English,AKELAND,"AKELAND, co. Devon.","Azure, a pale sable, over all a fesse gules voided of the first, cotised of the second"
English,AKENSIDE,AKENSIDE.,"Sable, a chevron between three darts, points upwards, shafts broken argent"
English,AKERMAN,"AKERMAN, Surrey.","Quarterly, per fess indented first and fourth gules in chief a maunch argent, in base an acorn sprig"
English,ALABAND,ALABAND.,"Sable, on a cushion a dog couchant or"
English,ALBASTER,"ALBASTER, Stafford.","Ermine, a cross-bow bent in pale gules"
English,ALBERY,"ALBERY, Wickingham, co. Berks, 1590.","Gules, a cross engrailed between four stock-doves azure"
English,ALBON,ALBON.,"Argent, a tombstone gules"
English,ALBONE,ALBONE.,"Argent, a lion unarmed gules"
English,ALCOCK,"ALCOCK, co. Chester.","Argent, a fesse gules between three scythes sable"
English,ALCOCK,ALCOCK.,"Argent, on a chevron between three cock's heads erased, the two in chief respectant sable, an escallop-shell or, in chief the letters A L azure"
English,ALCOCK,"John ALCOCK, Bp. of Rochester, 1472; Bp. of Worcester, 1476; Bp. of Ely, 1486-1500.","Argent, on a fesse between three cock's heads erased sable, crested and jellopped gules, a mitre or"
